Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
HUMS; 105;FAI & POW: EXP WO MID AGE;01;001013;20.01.2023;11:45:00;14:45:00;SOSB16;FIN;100;CSSH;2221
HUMS; 105;FAI & POW: EXP WO MID AGE;01;001013;20.01.2023;11:45:00;14:45:00;SOS186;FIN;100;CSSH;2221
HUMS; 105;FAI & POW: EXP WO MID AGE;02;001013;20.01.2023;11:45:00;14:45:00;SOS186;FIN;100;CSSH;2221
HUMS; 109;THINGS: MAT WORLD HUM;01;002775;24.01.2023;08:30:00;11:30:00;SNAA21;FIN;60;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;01;000011;19.01.2023;18:15:00;21:15:00;SOSB07;FIN;50;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;02;000011;12.11.2022;15:00:00;18:00:00;SOSB07;MID;49;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;02;000011;12.11.2022;15:00:00;18:00:00;SOSB07;MID;49;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;02;000011;19.01.2023;18:15:00;21:15:00;SOSB08;FIN;49;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;02;000011;19.01.2023;18:15:00;21:15:00;SOSB08;FIN;49;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;03;000011;12.11.2022;15:00:00;18:00:00;SOSB08;MID;50;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;03;000011;12.11.2022;15:00:00;18:00:00;SOSB08;MID;50;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;03;000011;19.01.2023;18:15:00;21:15:00;SOSB10;FIN;50;CSSH;2221
HUMS; 114;HIST  ISTANBUL: ANC-CNTMP;03;000011;19.01.2023;18:15:00;21:15:00;SOSB10;FIN;50;CSSH;2221
HUMS; 115;MYTHOLOGY AND RELIGION;01;000079;20.01.2023;18:15:00;21:15:00;SNAA22;FIN;61;CSSH;2221
HUMS; 130;HISTORY OF SCIENCE&TECHNOLOGY;01;003847;25.01.2023;11:45:00;14:45:00;SNAB172;FIN;66;CSSH;2221
HUMS; 130;HISTORY OF SCIENCE&TECHNOLOGY;01;003847;25.01.2023;11:45:00;14:45:00;SNAB173;FIN;66;CSSH;2221
HUMS; 131;HISTORY, POWER AND PEOPLE;01;003919;20.01.2023;11:45:00;14:45:00;SNA159;FIN;60;CSSH;2221
HUMS; 131;HISTORY, POWER AND PEOPLE;01;003919;20.01.2023;11:45:00;14:45:00;SNA158;FIN;60;CSSH;2221
IMMN; 501;BASIC CONCEPTS OF IMMUNOLOGY;01;004179;19.01.2023;11:45:00;14:45:00;SNAB173;FIN;19;GSHS;2221
IMMN; 502;FUNDAMENTAL IMMUNOLOGY;01;004180;20.01.2023;11:45:00;14:45:00;ENGB05;FIN;15;GSHS;2221
IMMN; 504;ADVANCE CLINICAL IMMUNOLOGY;01;004202;18.01.2023;11:45:00;14:45:00;CASEB35;FIN;3;GSHS;2221
INDR; 100;INTRO TO INDR. ENGINEERIN;01;001456;21.01.2023;11:45:00;14:45:00;SNAA21;FIN;137;CE;2221
INDR; 100;INTRO TO INDR. ENGINEERIN;01;001456;3.12.2022;08:30:00;11:30:00;SNAA21;MID;137;CE;2221
INDR; 100;INTRO TO INDR. ENGINEERIN;01;001456;21.01.2023;11:45:00;14:45:00;SNAA22;FIN;137;CE;2221
INDR; 100;INTRO TO INDR. ENGINEERIN;01;001456;3.12.2022;08:30:00;11:30:00;SNAA22;MID;137;CE;2221
INDR; 201;DISCRETE MATH STRUCT;01;000904;22.01.2023;18:15:00;21:15:00;ENGZ50;FIN;122;CE;2221
INDR; 201;DISCRETE MATH STRUCT;01;000904;7.12.2022;19:00:00;22:00:00;ENGZ50;MID;122;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;20.01.2023;08:30:00;11:30:00;SNAB242;FIN;131;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;21.11.2022;19:00:00;22:00:00;SNAB149;MID;131;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;21.11.2022;19:00:00;22:00:00;SNAB242;MID;131;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;26.12.2022;19:00:00;22:00:00;SNAB149;MID;131;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;26.12.2022;19:00:00;22:00:00;SNAB242;MID;131;CE;2221
INDR; 220;INTRO. TO COMPUTING FOR OR;01;004111;20.01.2023;08:30:00;11:30:00;SNAB149;FIN;131;CE;2221
INDR; 343;STOCHASTIC MODELS;01;000080;3.12.2022;08:30:00;11:30:00;SOSB07;MID;95;CE;2221
INDR; 343;STOCHASTIC MODELS;01;000080;3.12.2022;08:30:00;11:30:00;SOSB08;MID;95;CE;2221
INDR; 343;STOCHASTIC MODELS;01;000080;18.01.2023;15:00:00;18:00:00;SNAA22;FIN;95;CE;2221
INDR; 343;STOCHASTIC MODELS;01;000080;18.01.2023;15:00:00;18:00:00;SNAA51;FIN;95;CE;2221
INDR; 363;MATH. PROGRAMMING;01;001606;21.01.2023;18:15:00;21:15:00;SOSB07;FIN;95;CE;2221
INDR; 363;MATH. PROGRAMMING;01;001606;6.12.2022;19:00:00;22:00:00;SOSB07;MID;95;CE;2221
INDR; 363;MATH. PROGRAMMING;01;001606;6.12.2022;19:00:00;22:00:00;SOSB08;MID;95;CE;2221
INDR; 363;MATH. PROGRAMMING;01;001606;21.01.2023;18:15:00;21:15:00;SCIZ24;FIN;95;CE;2221
INDR; 371;OPER&FACILITIES DESIGN;01;001741;16.01.2023;08:30:00;11:30:00;SOSB10;FIN;91;CE;2221
INDR; 371;OPER&FACILITIES DESIGN;01;001741;16.01.2023;08:30:00;11:30:00;SOSB08;FIN;91;CE;2221
INDR; 371;OPER&FACILITIES DESIGN;01;001741;12.12.2022;19:00:00;22:00:00;SOSB07;MID;91;CE;2221
INDR; 371;OPER&FACILITIES DESIGN;01;001741;12.12.2022;19:00:00;22:00:00;SOSB08;MID;91;CE;2221
INDR; 420;NETWORK MOD.&OPTIMIZATION;01;001718;26.11.2022;18:15:00;21:15:00;SNAB172;MID;13;CE;2221
INDR; 475;PRICING&REVENUE MANAGEMENT;01;003792;15.12.2022;19:00:00;22:00:00;SOSB10;MID;80;CE;2221
INDR; 475;PRICING&REVENUE MANAGEMENT;01;003792;19.01.2023;15:00:00;18:00:00;SNAA51;FIN;80;CE;2221
INDR; 475;PRICING&REVENUE MANAGEMENT;01;003792;15.12.2022;19:00:00;22:00:00;SOSB07;MID;80;CE;2221
INDR; 475;PRICING&REVENUE MANAGEMENT;01;003792;19.01.2023;15:00:00;18:00:00;SNAA22;FIN;80;CE;2221
INDR; 475;PRICING&REVENUE MANAGEMENT;01;003792;19.01.2023;15:00:00;18:00:00;SNAA51;FIN;80;CE;2221
INDR; 481;INFORMATION SYSTEMS;01;001307;9.12.2022;19:00:00;22:00:00;SOSB08;MID;97;CE;2221
INDR; 481;INFORMATION SYSTEMS;01;001307;9.12.2022;19:00:00;22:00:00;SOSB07;MID;97;CE;2221
INDR; 481;INFORMATION SYSTEMS;01;001307;22.01.2023;15:00:00;18:00:00;SOSB07;FIN;97;CE;2221
INDR; 481;INFORMATION SYSTEMS;01;001307;22.01.2023;15:00:00;18:00:00;SOSB08;FIN;97;CE;2221
INDR; 501;OPTIM. MODELS&ALGORITHMS;01;001755;20.01.2023;11:45:00;14:45:00;ENGZ15;FIN;22;GSSE;2221
INDR; 503;STOCHASTIC MODELS&APPLIC.;01;002686;17.01.2023;18:15:00;21:15:00;CASEB13;FIN;12;GSSE;2221
INDR; 520;NETWORK MOD.&OPTIMIZATION;01;001719;26.11.2022;18:15:00;21:15:00;SNAB172;MID;24;GSSE;2221
INDR; 575;PRICING&REVENUE MANAGEMENT;01;003793;19.01.2023;15:00:00;18:00:00;SNAA51;FIN;7;GSSE;2221
INDR; 575;PRICING&REVENUE MANAGEMENT;01;003793;15.12.2022;19:00:00;22:00:00;SOSB10;MID;7;GSSE;2221
INDR; 575;PRICING&REVENUE MANAGEMENT;01;003793;19.01.2023;15:00:00;18:00:00;SNAA51;FIN;7;GSSE;2221
INDR; 575;PRICING&REVENUE MANAGEMENT;01;003793;15.12.2022;19:00:00;22:00:00;SOSB07;MID;7;GSSE;2221
INDR; 575;PRICING&REVENUE MANAGEMENT;01;003793;19.01.2023;15:00:00;18:00:00;SNAA22;FIN;7;GSSE;2221
INTL; 101;INTRO POL SCIE;01;001433;25.01.2023;08:30:00;11:30:00;SNAA22;FIN;60;CASE;2221
INTL; 101;INTRO POL SCIE;01;001433;3.12.2022;11:45:00;14:45:00;SNAA22;MID;60;CASE;2221
INTL; 101;INTRO POL SCIE;02;001433;26.11.2022;18:15:00;21:15:00;SNAA21;MID;74;CASE;2221
INTL; 101;INTRO POL SCIE;02;001433;25.01.2023;08:30:00;11:30:00;SNA104;FIN;74;CASE;2221
INTL; 101;INTRO POL SCIE;02;001433;25.01.2023;08:30:00;11:30:00;SNAA21;FIN;74;CASE;2221
