Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
THE;IMMN; 695;03;004211;PHD THESIS;1;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2644;P
THE;IMMN; 695;04;004211;PHD THESIS;2;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2645;P
THE;IMMN; 695;05;004211;PHD THESIS;1;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2655;P
THE;IMMN; 695;06;004211;PHD THESIS;2;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2657;P
THE;IMMN; 695;07;004211;PHD THESIS;4;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2658;P
THE;IMMN; 695;08;004211;PHD THESIS;1;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2659;P
THE;IMMN; 695;09;004211;PHD THESIS;1;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3669;P
LEC;INDR; 198;01;004093;TEACHING IN INDUSTRIAL ENGINEE;1;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1527;P
LEC;INDR; 198;02;004093;TEACHING IN INDUSTRIAL ENGINEE;1;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1528;P
LEC;INDR; 198;03;004093;TEACHING IN INDUSTRIAL ENGINEE;3;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;1529;P
LEC;INDR; 198;04;004093;TEACHING IN INDUSTRIAL ENGINEE;2;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3569;P
LEC;INDR; 198;05;004093;TEACHING IN INDUSTRIAL ENGINEE;0;UGRD;CE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3632;P
LEC;INDR; 201;01;000904;DISCRETE MATH STRUCT;22;UGRD;CE;Y;N;Y;N;N;N;N;SNAB119;LCTR;75;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;2238;P
LEC;INDR; 202;01;000960;ENGINEERING ECONOMICS;86;UGRD;CE;N;Y;N;Y;N;N;N;SOSB10;LCTR;107;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1530;P
